checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_task_partitions,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,offset_task_partitions,partition_block_size,partition_chunk,partition_schedule,partition_task_blocks,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44578945.693741,2.243211,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,320584830.004401,0.311930,2.558353,39087645.023238
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,498961262.318268,0.200416,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,278980944.054696,0.358447,0.562114,177899832.931442
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,512144161.673316,0.195258,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,290756362.558568,0.343931,0.542311,184396175.969081
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,500733234.796677,0.199707,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,277522201.712576,0.360332,0.563806,177365903.913415
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,493549750.460265,0.202614,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,284225317.833692,0.351834,0.557947,179228446.800179
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,490913908.292423,0.203702,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,276613683.388496,0.361515,0.568485,175906026.060299
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,500523645.648917,0.199791,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,284023182.202876,0.352084,0.555315,180077871.379665
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,491829554.832118,0.203322,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,279762511.332715,0.357446,0.564088,177277289.620784
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,494345538.979918,0.202288,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,274800393.711154,0.363900,0.569540,175580154.606555
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,335645756.343139,0.297933,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298214884.191926,0.335329,0.636377,157139574.858135
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,364605967.881968,0.274269,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,295289496.188695,0.338651,0.616219,162279903.173287
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,197137127.408451,0.507261,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,289975208.882042,0.344857,0.855488,116892319.532071
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,192326067.183963,0.519950,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,298933667.162351,0.334522,0.857545,116611929.940344
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,360289183.806496,0.277555,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,286395433.949026,0.349168,0.630302,158654070.598427
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,343979245.772885,0.290715,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,291514432.033091,0.343036,0.636995,156987059.711434
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,188197330.358432,0.531357,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298195915.277778,0.335350,0.869879,114958488.679523
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,187414590.048325,0.533576,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,291376823.735660,0.343198,0.880016,113634241.876856
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,65168946.884838,1.534473,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307273340.551929,0.325443,1.863227,53670337.467456
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,64972481.108309,1.539113,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,317415889.159579,0.315044,1.857599,53832944.241141
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44652312.354247,2.239526,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298454439.242491,0.335060,2.577764,38793314.873218
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44819925.105445,2.231151,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,307311659.320553,0.325403,2.559988,39062687.036207
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,65766861.432956,1.520523,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298522436.830837,0.334983,1.858574,53804684.135021
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,66944330.567383,1.493778,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,318767298.248822,0.313708,1.810655,55228638.139234
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44732257.948249,2.235523,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,300172693.915609,0.333142,2.574015,38849819.946113
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44177804.618887,2.263580,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,317111747.776264,0.315346,2.582110,38728012.667489
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,504937237.010931,0.198044,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,284450701.815891,0.351555,0.552927,180855847.344571
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,499033781.444526,0.200387,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,289160443.814719,0.345829,0.549921,181844428.644976
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,509981030.033592,0.196086,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,283767526.104776,0.352401,0.551937,181180180.726037
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,494092238.039205,0.202391,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,278777336.925583,0.358709,0.564751,177069055.673237
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,510045943.293347,0.196061,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,277741243.004773,0.360047,0.559854,178618130.881597
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,502328494.038818,0.199073,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,276769360.622363,0.361312,0.563447,177478853.417480
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,485303573.425329,0.206057,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,290855575.193539,0.343813,0.553501,180668002.643596
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,479821241.218679,0.208411,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,277864510.292257,0.359888,0.571475,174985791.778871
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,345891094.337723,0.289108,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,286037186.166933,0.349605,0.641814,155808487.116236
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,346901542.612395,0.288266,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,290872786.458171,0.343793,0.635318,157401446.008071
